GenPept accession,Phylum,Class
YP_009209482, Duplornaviricota, Chrymotiviricetes
YP_009212848, Duplornaviricota, Chrymotiviricetes
YP_009212849, Kitrinoviricota, Alsuviricetes
YP_009214659, Pisuviricota, Pisoniviricetes
YP_009215780, Pisuviricota, Pisoniviricetes
YP_009220366, Kitrinoviricota, Alsuviricetes
YP_009220374, Pisuviricota, Pisoniviricetes
YP_009221993, Pisuviricota, Pisoniviricetes
YP_009222007, Kitrinoviricota, Flasuviricetes
YP_009222009, Pisuviricota, Duplopiviricetes
YP_009222598, Kitrinoviricota, Alsuviricetes
YP_009224125, Pisuviricota, Stelpaviricetes
YP_009224940, Kitrinoviricota, Alsuviricetes
YP_009224946, Kitrinoviricota, Alsuviricetes
YP_009224952, Kitrinoviricota, Alsuviricetes
YP_009225663, Kitrinoviricota, Alsuviricetes
YP_009225665, Duplornaviricota, Chrymotiviricetes
YP_009227124, Duplornaviricota, Chrymotiviricetes
YP_009227212, Pisuviricota, Pisoniviricetes
YP_009229912, Kitrinoviricota, Alsuviricetes
YP_009229915, Duplornaviricota, Chrymotiviricetes
YP_009230118, Pisuviricota, Pisoniviricetes
YP_009230120, Pisuviricota, Pisoniviricetes
YP_009230124, Pisuviricota, Pisoniviricetes
YP_009230208, Duplornaviricota, Chrymotiviricetes
YP_009237274, Negarnaviricota, Ellioviricetes
YP_009237282, Negarnaviricota, Ellioviricetes
YP_009238501, Kitrinoviricota, Tolucaviricetes
YP_009241365, Lenarviricota, Amabiliviricetes
YP_009241367, Kitrinoviricota, Alsuviricetes
YP_009241386, Pisuviricota, Duplopiviricetes
YP_009246408, Kitrinoviricota, Tolucaviricetes
YP_009246466, Duplornaviricota, Resentoviricetes
YP_009246481, Negarnaviricota, Insthoviricetes
YP_009246486, Negarnaviricota, Ellioviricetes
YP_009249823, Pisuviricota, Pisoniviricetes
YP_009252204, Pisuviricota, Pisoniviricetes
YP_009252304, Pisuviricota, Stelpaviricetes
YP_009253998, Kitrinoviricota, Tolucaviricetes
YP_009254000, Negarnaviricota, Monjiviricetes
YP_009254736, Duplornaviricota, Chrymotiviricetes
YP_009254738, Pisuviricota, Pisoniviricetes
YP_009255234, Pisuviricota, Stelpaviricetes
YP_009256192, Kitrinoviricota, Flasuviricetes
YP_009256193, Kitrinoviricota, Flasuviricetes
YP_009256194, Kitrinoviricota, Flasuviricetes
YP_009256204, Pisuviricota, Stelpaviricetes
YP_009256209, Duplornaviricota, Chrymotiviricetes
YP_009256557, Lenarviricota, Amabiliviricetes
YP_009259252, Negarnaviricota, Ellioviricetes
YP_009259366, Pisuviricota, Stelpaviricetes
YP_009259368, Duplornaviricota, Chrymotiviricetes
YP_009259369, Lenarviricota, Howeltoviricetes
YP_009259481, Lenarviricota, Howeltoviricetes
YP_009259482, Lenarviricota, Howeltoviricetes
YP_009259483, Lenarviricota, Howeltoviricetes
YP_009259487, Lenarviricota, Howeltoviricetes
YP_009259488, Kitrinoviricota, Flasuviricetes
YP_009259489, Kitrinoviricota, Flasuviricetes
YP_009259508, Duplornaviricota, Resentoviricetes
YP_009259650, Negarnaviricota, Monjiviricetes
YP_009259752, Pisuviricota, Duplopiviricetes
YP_009268643, Pisuviricota, Pisoniviricetes
YP_009268710, Kitrinoviricota, Alsuviricetes
YP_009268715, Kitrinoviricota, Alsuviricetes
YP_009268859, Kitrinoviricota, Alsuviricetes
YP_009268916, Negarnaviricota, Monjiviricetes
YP_009269301, Pisuviricota, Pisoniviricetes
YP_009270620, Kitrinoviricota, Tolucaviricetes
YP_009270628, Pisuviricota, Pisoniviricetes
YP_009270629, Pisuviricota, Pisoniviricetes
YP_009270630, Kitrinoviricota, Alsuviricetes
YP_009270651, Negarnaviricota, Ellioviricetes
YP_009272536, Kitrinoviricota, Flasuviricetes
YP_009272568, Pisuviricota, Pisoniviricetes
YP_009272570, Pisuviricota, Stelpaviricetes
YP_009272812, Pisuviricota, Pisoniviricetes
YP_009272813, Kitrinoviricota, Alsuviricetes
YP_009272820, Pisuviricota, Stelpaviricetes
YP_009272898, Lenarviricota, Howeltoviricetes
YP_009272900, Lenarviricota, Howeltoviricetes
YP_009272901, Lenarviricota, Howeltoviricetes
YP_009272902, Lenarviricota, Amabiliviricetes
YP_009272905, Duplornaviricota, Chrymotiviricetes
YP_009272906, Pisuviricota, Duplopiviricetes
YP_009272910, Pisuviricota, Pisuviricota_other
YP_009272947, Pisuviricota, Duplopiviricetes
YP_009272951, Pisuviricota, Duplopiviricetes
YP_009272952, Duplornaviricota, Chrymotiviricetes
YP_009273017, Pisuviricota, Duplopiviricetes
YP_009273018, Pisuviricota, Duplopiviricetes
YP_009275350, Kitrinoviricota, Alsuviricetes
YP_009287864, Negarnaviricota, Monjiviricetes
YP_009288322, Negarnaviricota, Monjiviricetes
YP_009288955, Negarnaviricota, Monjiviricetes
YP_009288956, Kitrinoviricota, Alsuviricetes
YP_009289352, Negarnaviricota, Monjiviricetes
YP_009290629, Pisuviricota, Pisoniviricetes
YP_009290630, Pisuviricota, Pisoniviricetes
YP_009293586, Pisuviricota, Duplopiviricetes
YP_009293587, Negarnaviricota, Ellioviricetes
YP_009293590, Negarnaviricota, Ellioviricetes
YP_009293594, Negarnaviricota, Ellioviricetes
