GenPept accession,Phylum,Class
YP_699983, Kitrinoviricota, Alsuviricetes
YP_717533, Kitrinoviricota, Alsuviricetes
YP_719997, Kitrinoviricota, Alsuviricetes
YP_762617, Kitrinoviricota, Alsuviricetes
YP_762622, Kitrinoviricota, Alsuviricetes
YP_778468, Pisuviricota, Stelpaviricetes
YP_802942, Negarnaviricota, Monjiviricetes
YP_803213, Pisuviricota, Pisoniviricetes
YP_851006, Pisuviricota, Stelpaviricetes
YP_908760, Kitrinoviricota, Alsuviricetes
YP_950477, Kitrinoviricota, Flasuviricetes
YP_950478, Kitrinoviricota, Flasuviricetes
AFA26424, Pisuviricota, Stelpaviricetes
AGV40216, Pisuviricota, Stelpaviricetes
AJG39051, Negarnaviricota, Monjiviricetes
AKZ17743, Kitrinoviricota, Alsuviricetes
